"Moving Violations",,
Bronx,,
"    June ",,
pbbxsum,,
"Offense Description","MTD 2015","YTD 2015"
"Backing Unsafely",23,152
"Brake Lights (Defect.or Improper)",294,2552
"Bus Lane, Driving in",9,99
"Cell Phone",612,3875
"Commercial Veh on Pkwy",8,12
"Defective Brakes",1,2
"Disobey Steady Red Signal",475,2678
"Disobey Traffic Control Device",1310,9161
"Equipment (Other)",46,249
"Fail to Keep Right",7,32
"Fail to Signal",144,1091
"Following Too Closely",3,30
"Headlights (Defect. or Improper)",239,2315
"Improper Lights",12,65
"Improper Passing",26,124
"Improper Turn",953,5563
"Improper/Missing Plates",16,191
"Not Giving R of W to Pedes.",664,2717
"Not Giving R of W to Veh.",44,193
"One Way Street",38,121
"Pavement Markings",144,872
"Safety Belt",707,4222
"School Bus, Passing Stopped",48,479
Speeding,783,4243
Spillback,13,113
"Tinted Windows",1078,7713
"Truck Routes",25,190
U-Turn,51,595
Uninspected,20,162
Uninsured,456,3153
"Unlicensed Operator",603,3601
Unregistered,163,1078
"Unsafe Lane Change",37,280
"Other Movers",472,2412
"PBBX  TOTAL Movers ",9524,60335
"* All figures are preliminary and subject to change.",,
