"Moving Violations",,
"23rd Precinct",,
"    June ",,
023sum,,
"Offense Description","MTD 2015","YTD 2015"
"Backing Unsafely",0,3
"Brake Lights (Defect.or Improper)",6,43
"Bus Lane, Driving in",1,4
"Cell Phone",151,957
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",95,447
"Disobey Traffic Control Device",67,353
"Equipment (Other)",18,61
"Fail to Keep Right",0,0
"Fail to Signal",8,39
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",6,49
"Improper Lights",0,0
"Improper Passing",4,19
"Improper Turn",96,549
"Improper/Missing Plates",6,9
"Not Giving R of W to Pedes.",84,349
"Not Giving R of W to Veh.",1,7
"One Way Street",16,28
"Pavement Markings",4,8
"Safety Belt",40,250
"School Bus, Passing Stopped",3,33
Speeding,36,122
Spillback,0,0
"Tinted Windows",9,83
"Truck Routes",8,27
U-Turn,0,2
Uninspected,4,4
Uninsured,6,23
"Unlicensed Operator",20,79
Unregistered,4,10
"Unsafe Lane Change",4,18
"Other Movers",46,159
"023   TOTAL Movers ",743,3735
"* All figures are preliminary and subject to change.",,
