"Moving Violations",,
"Queens South",,
"   April ",,
"Offense Description","MTD 2018","YTD 2018"
"Backing Unsafely",3,28
"Bike Lane",0,2
"Bus Lane",7,13
"Cell Phone",326,1499
"Commercial Veh on Pkwy",1,17
"Cruising For Passengers",0,1
"Disobey Traffic Control Device",1419,6276
"Driving Too Slow",0,1
Equipment,269,1027
"Equipment (Other)",0,0
"Excessive Noise",0,0
"Fail to Keep Right",0,4
"Fail to yield Right of Way to Pedestrian",272,1277
"Failure to Signal",193,963
"Following Too Closely",2,10
"Improper Passing",21,90
"Improper Taxi Pickup",23,43
"Improper Turn",612,2709
"Improper/Missing Plates",11,30
"Lamps and Other Equipment on Bicycle",0,1
"Motorcycle (Other)",6,10
"Not Giving R of W to Veh.",8,32
"Obstructed Plate",48,206
"One Way Street",20,89
Overheight,0,0
Overlength,0,1
Overweight,0,0
Overwidth,0,0
"Pavement Markings",3,12
"Red Light",417,1860
"School Bus",30,48
"Scooter In NYC",0,0
"Seat Belt",390,1638
Speeding,579,2605
Spillback,2,16
"TBTA Rule",0,0
Tints,363,1444
"TLC (Other)",0,0
"Truck Route",75,148
Uninspected,36,181
Uninsured,186,774
"Unlicensed Operator",556,2215
Unregistered,109,386
"Unsafe Lane Change",11,42
"Other Movers",648,2465
"PBQSTOTAL Movers ",6646,28163
"* All figures are preliminary and subject to change.",,
