"Moving Violations",,
"Patrol Bureau",,
"   April ",,
"Offense Description","MTD 2018","YTD 2018"
"Backing Unsafely",78,313
"Bike Lane",36,122
"Bus Lane",111,298
"Cell Phone",4022,16485
"Commercial Veh on Pkwy",35,110
"Cruising For Passengers",2,6
"Disobey Traffic Control Device",15297,64203
"Driving Too Slow",2,15
Equipment,2372,8787
"Equipment (Other)",0,6
"Excessive Noise",1,2
"Fail to Keep Right",9,47
"Fail to yield Right of Way to Pedestrian",4625,19387
"Failure to Signal",1414,6784
"Following Too Closely",21,99
"Improper Passing",204,673
"Improper Taxi Pickup",68,224
"Improper Turn",7226,28117
"Improper/Missing Plates",130,349
"Lamps and Other Equipment on Bicycle",4,29
"Motorcycle (Other)",114,213
"Not Giving R of W to Veh.",101,498
"Obstructed Plate",700,2434
"One Way Street",417,1520
Overheight,0,1
Overlength,14,21
Overweight,0,0
Overwidth,0,0
"Pavement Markings",24,72
"Red Light",5980,23919
"School Bus",510,911
"Scooter In NYC",1,3
"Seat Belt",5426,21922
Speeding,6520,25084
Spillback,158,451
"TBTA Rule",0,0
Tints,4423,17458
"TLC (Other)",0,0
"Truck Route",209,775
Uninspected,295,1116
Uninsured,1170,4946
"Unlicensed Operator",3906,15957
Unregistered,779,2966
"Unsafe Lane Change",247,1051
"Other Movers",6565,25521
"PATROLTOTAL Movers ",73216,292895
"* All figures are preliminary and subject to change.",,
