Brooklyn North,,
   April ,,
"","",""
Backing Unsafely,10,35
Bike Lane,5,19
Bus Lane,8,15
Cell Phone,580,2183
Commercial Veh on Pkwy,3,12
Cruising For Passengers,0,0
Disobey Traffic Control Device,2762,10720
Driving Too Slow,2,5
Equipment,406,1404
Equipment (Other),0,0
Excessive Noise,1,1
Fail to Keep Right,0,6
Fail to yield Right of Way to Pedestrian,523,1887
Failure to Signal,204,848
Following Too Closely,1,8
Improper Passing,23,78
Improper Taxi Pickup,2,2
Improper Turn,729,2275
Improper/Missing Plates,19,42
Lamps and Other Equipment on Bicycle,0,1
Motorcycle (Other),13,23
Not Giving R of W to Veh.,12,71
Obstructed Plate,60,243
One Way Street,128,414
Overheight,0,0
Overlength,12,15
Overweight,0,0
Overwidth,0,0
Pavement Markings,5,19
Red Light,1293,4548
School Bus,22,40
Scooter In NYC,0,0
Seat Belt,811,3247
Speeding,703,2721
Spillback,13,34
TBTA Rule,0,0
Tints,596,2715
TLC (Other),0,0
Truck Route,44,244
Uninspected,31,120
Uninsured,133,566
Unlicensed Operator,568,2385
Unregistered,127,485
Unsafe Lane Change,7,33
Other Movers,1318,4664
PBBNTOTAL Movers ,11174,42128
