Bronx,,
   April ,,
"","",""
Backing Unsafely,12,69
Bike Lane,0,4
Bus Lane,50,113
Cell Phone,743,3006
Commercial Veh on Pkwy,1,3
Cruising For Passengers,0,0
Disobey Traffic Control Device,2567,11037
Driving Too Slow,0,2
Equipment,526,2256
Equipment (Other),0,3
Excessive Noise,0,0
Fail to Keep Right,1,4
Fail to yield Right of Way to Pedestrian,676,2792
Failure to Signal,186,1000
Following Too Closely,4,18
Improper Passing,26,87
Improper Taxi Pickup,5,8
Improper Turn,1330,5341
Improper/Missing Plates,32,79
Lamps and Other Equipment on Bicycle,1,1
Motorcycle (Other),11,13
Not Giving R of W to Veh.,18,82
Obstructed Plate,128,432
One Way Street,35,130
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,7,17
Red Light,647,3007
School Bus,80,224
Scooter In NYC,0,0
Seat Belt,798,3024
Speeding,1311,5401
Spillback,27,180
TBTA Rule,0,0
Tints,984,3963
TLC (Other),0,0
Truck Route,16,96
Uninspected,30,120
Uninsured,269,1208
Unlicensed Operator,757,3064
Unregistered,183,774
Unsafe Lane Change,84,279
Other Movers,765,2761
PBBXTOTAL Movers ,12310,50598
