113th Precinct,,
    July ,,
113sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,1,9
Brake Lights (Defect.or Improper),81,526
"Bus Lane, Driving in",0,0
Cell Phone,116,797
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,75,631
Equipment (Other),19,153
Fail to Keep Right,0,0
Fail to Signal,1,52
Fail to Stop on Signal,39,225
Following Too Closely,4,8
Headlights (Defect. or Improper),69,230
Improper Lights,0,3
Improper Passing,8,26
Improper Turn,219,1373
Improper/Missing Plates,2,13
Not Giving R of W to Pedes.,13,101
Not Giving R of W to Veh.,2,15
One Way Street,0,1
Pavement Markings,6,66
Safety Belt,133,683
"School Bus, Passing Stopped",0,15
Speeding,16,202
Spillback,0,6
Tinted Windows,175,1010
Truck Routes,6,65
U-Turn,3,3
Uninspected,6,65
Uninsured,109,679
Unlicensed Operator,128,872
Unregistered,38,237
Unsafe Lane Change,1,2
Other Movers,96,635
113    TOTAL Movers ,1366,8703
