"Moving Violations",,
"Patrol Bureau",,
"    July ",,
patrolsum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",142,1094
"Brake Lights (Defect.or Improper)",1719,14523
"Bus Lane, Driving in",67,584
"Cell Phone",8457,64817
"Commercial Veh on Pkwy",17,105
"Defective Brakes",45,176
"Disobey Sign",11384,79141
"Equipment (Other)",395,2665
"Fail to Keep Right",24,173
"Fail to Signal",1543,11629
"Fail to Stop on Signal",4469,28645
"Following Too Closely",45,343
"Headlights (Defect. or Improper)",1309,13946
"Improper Lights",250,2409
"Improper Passing",330,2138
"Improper Turn",6047,42944
"Improper/Missing Plates",264,1914
"Not Giving R of W to Pedes.",2353,18493
"Not Giving R of W to Veh.",294,1798
"One Way Street",484,2428
"Pavement Markings",2305,17065
"Safety Belt",8959,60391
"School Bus, Passing Stopped",24,1310
Speeding,3492,24075
Spillback,369,2477
"Tinted Windows",4118,39103
"Truck Routes",362,3058
U-Turn,455,4477
Uninspected,327,3484
Uninsured,3493,29810
"Unlicensed Operator",4264,32750
Unregistered,960,6995
"Unsafe Lane Change",537,2923
"Other Movers",4780,30338
"PATROL TOTAL Movers ",74083,548221
"* All figures are preliminary and subject to change.",,
