52nd Precinct,,
    July ,,
052sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,3,15
Brake Lights (Defect.or Improper),85,573
"Bus Lane, Driving in",1,5
Cell Phone,99,473
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,140,585
Equipment (Other),0,42
Fail to Keep Right,0,5
Fail to Signal,12,92
Fail to Stop on Signal,31,275
Following Too Closely,0,0
Headlights (Defect. or Improper),36,336
Improper Lights,0,20
Improper Passing,2,5
Improper Turn,109,777
Improper/Missing Plates,7,37
Not Giving R of W to Pedes.,16,114
Not Giving R of W to Veh.,0,5
One Way Street,3,7
Pavement Markings,28,283
Safety Belt,66,307
"School Bus, Passing Stopped",0,3
Speeding,30,524
Spillback,1,3
Tinted Windows,161,1533
Truck Routes,2,12
U-Turn,2,57
Uninspected,10,175
Uninsured,14,200
Unlicensed Operator,92,622
Unregistered,27,191
Unsafe Lane Change,1,14
Other Movers,45,242
052    TOTAL Movers ,1023,7532
