"Moving Violations",,
"47th Precinct",,
"    July ",,
047sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",2,6
"Brake Lights (Defect.or Improper)",19,192
"Bus Lane, Driving in",0,0
"Cell Phone",57,329
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",139,450
"Equipment (Other)",0,0
"Fail to Keep Right",0,2
"Fail to Signal",0,1
"Fail to Stop on Signal",19,120
"Following Too Closely",1,4
"Headlights (Defect. or Improper)",32,197
"Improper Lights",0,0
"Improper Passing",4,8
"Improper Turn",105,465
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",10,110
"Not Giving R of W to Veh.",3,15
"One Way Street",2,2
"Pavement Markings",0,28
"Safety Belt",102,703
"School Bus, Passing Stopped",0,23
Speeding,27,231
Spillback,0,0
"Tinted Windows",21,347
"Truck Routes",0,6
U-Turn,0,0
Uninspected,2,93
Uninsured,53,673
"Unlicensed Operator",46,349
Unregistered,23,217
"Unsafe Lane Change",2,10
"Other Movers",44,174
"047    TOTAL Movers ",713,4755
"* All figures are preliminary and subject to change.",,
