106th Precinct,,
    July ,,
106sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,0,8
Brake Lights (Defect.or Improper),0,1
"Bus Lane, Driving in",0,0
Cell Phone,63,439
Commercial Veh on Pkwy,0,0
Defective Brakes,0,9
Disobey Sign,97,674
Equipment (Other),0,0
Fail to Keep Right,0,0
Fail to Signal,0,6
Fail to Stop on Signal,77,668
Following Too Closely,0,2
Headlights (Defect. or Improper),0,5
Improper Lights,23,197
Improper Passing,6,14
Improper Turn,146,1059
Improper/Missing Plates,1,2
Not Giving R of W to Pedes.,9,148
Not Giving R of W to Veh.,4,49
One Way Street,0,8
Pavement Markings,3,82
Safety Belt,140,933
"School Bus, Passing Stopped",0,10
Speeding,17,195
Spillback,0,8
Tinted Windows,64,528
Truck Routes,32,72
U-Turn,0,0
Uninspected,6,51
Uninsured,102,793
Unlicensed Operator,52,396
Unregistered,12,87
Unsafe Lane Change,1,12
Other Movers,32,267
106    TOTAL Movers ,887,6723
