70th Precinct,,
    July ,,
070sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,7,34
Brake Lights (Defect.or Improper),0,0
"Bus Lane, Driving in",0,0
Cell Phone,310,1608
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,88,932
Equipment (Other),19,56
Fail to Keep Right,0,0
Fail to Signal,0,1
Fail to Stop on Signal,68,534
Following Too Closely,1,5
Headlights (Defect. or Improper),0,0
Improper Lights,40,505
Improper Passing,12,126
Improper Turn,109,1713
Improper/Missing Plates,0,1
Not Giving R of W to Pedes.,55,751
Not Giving R of W to Veh.,12,74
One Way Street,0,1
Pavement Markings,0,7
Safety Belt,317,1806
"School Bus, Passing Stopped",0,18
Speeding,89,313
Spillback,37,139
Tinted Windows,68,802
Truck Routes,10,25
U-Turn,0,0
Uninspected,5,20
Uninsured,30,1172
Unlicensed Operator,63,728
Unregistered,12,95
Unsafe Lane Change,9,45
Other Movers,47,330
070    TOTAL Movers ,1408,11841
