120th Precinct,,
    July ,,
120sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,1,12
Brake Lights (Defect.or Improper),32,353
"Bus Lane, Driving in",0,1
Cell Phone,106,750
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,213,1268
Equipment (Other),13,112
Fail to Keep Right,2,8
Fail to Signal,26,387
Fail to Stop on Signal,64,477
Following Too Closely,0,7
Headlights (Defect. or Improper),25,322
Improper Lights,2,5
Improper Passing,3,23
Improper Turn,10,57
Improper/Missing Plates,12,95
Not Giving R of W to Pedes.,11,215
Not Giving R of W to Veh.,15,40
One Way Street,3,15
Pavement Markings,82,476
Safety Belt,102,763
"School Bus, Passing Stopped",0,25
Speeding,154,641
Spillback,0,5
Tinted Windows,37,277
Truck Routes,0,1
U-Turn,2,23
Uninspected,8,127
Uninsured,47,396
Unlicensed Operator,118,947
Unregistered,17,177
Unsafe Lane Change,1,10
Other Movers,126,872
120    TOTAL Movers ,1232,8887
