"Moving Violations",,
"41st Precinct",,
"    July ",,
041sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",1,12
"Brake Lights (Defect.or Improper)",18,171
"Bus Lane, Driving in",0,0
"Cell Phone",23,180
"Commercial Veh on Pkwy",3,3
"Defective Brakes",0,2
"Disobey Sign",210,1067
"Equipment (Other)",12,43
"Fail to Keep Right",0,1
"Fail to Signal",7,63
"Fail to Stop on Signal",49,305
"Following Too Closely",2,22
"Headlights (Defect. or Improper)",62,428
"Improper Lights",2,9
"Improper Passing",4,13
"Improper Turn",127,571
"Improper/Missing Plates",6,20
"Not Giving R of W to Pedes.",2,197
"Not Giving R of W to Veh.",1,9
"One Way Street",4,26
"Pavement Markings",56,181
"Safety Belt",43,299
"School Bus, Passing Stopped",0,13
Speeding,57,379
Spillback,5,14
"Tinted Windows",77,803
"Truck Routes",4,34
U-Turn,23,296
Uninspected,4,38
Uninsured,80,460
"Unlicensed Operator",50,351
Unregistered,32,124
"Unsafe Lane Change",5,8
"Other Movers",27,95
"041    TOTAL Movers ",996,6237
"* All figures are preliminary and subject to change.",,
