Brooklyn South,,
    July ,,
pbbssum,,
"",MTD   2014,YTD   2014
Backing Unsafely,27,233
Brake Lights (Defect.or Improper),134,1098
"Bus Lane, Driving in",27,258
Cell Phone,1701,11975
Commercial Veh on Pkwy,4,37
Defective Brakes,0,9
Disobey Sign,1638,11436
Equipment (Other),55,248
Fail to Keep Right,0,9
Fail to Signal,307,2460
Fail to Stop on Signal,689,5510
Following Too Closely,7,66
Headlights (Defect. or Improper),94,936
Improper Lights,41,572
Improper Passing,62,572
Improper Turn,466,5173
Improper/Missing Plates,53,354
Not Giving R of W to Pedes.,365,3413
Not Giving R of W to Veh.,69,480
One Way Street,58,293
Pavement Markings,426,3203
Safety Belt,1765,11693
"School Bus, Passing Stopped",2,193
Speeding,568,3202
Spillback,66,389
Tinted Windows,1097,7998
Truck Routes,82,615
U-Turn,65,965
Uninspected,64,558
Uninsured,549,5247
Unlicensed Operator,638,4848
Unregistered,170,1117
Unsafe Lane Change,30,279
Other Movers,719,4757
PBBS   TOTAL Movers ,12038,90196
