"Moving Violations",,
"67th Precinct",,
"    July ",,
067sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",7,43
"Brake Lights (Defect.or Improper)",32,227
"Bus Lane, Driving in",4,115
"Cell Phone",90,732
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",217,770
"Equipment (Other)",0,2
"Fail to Keep Right",0,3
"Fail to Signal",96,678
"Fail to Stop on Signal",103,792
"Following Too Closely",0,5
"Headlights (Defect. or Improper)",22,148
"Improper Lights",0,4
"Improper Passing",4,43
"Improper Turn",33,363
"Improper/Missing Plates",2,24
"Not Giving R of W to Pedes.",16,222
"Not Giving R of W to Veh.",7,44
"One Way Street",2,15
"Pavement Markings",72,456
"Safety Belt",127,702
"School Bus, Passing Stopped",0,12
Speeding,65,427
Spillback,6,56
"Tinted Windows",76,1060
"Truck Routes",8,37
U-Turn,17,345
Uninspected,2,61
Uninsured,61,470
"Unlicensed Operator",93,661
Unregistered,19,151
"Unsafe Lane Change",3,22
"Other Movers",180,1222
"067    TOTAL Movers ",1364,9912
"* All figures are preliminary and subject to change.",,
