101st Precinct,,
    July ,,
101sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,2,22
Brake Lights (Defect.or Improper),97,662
"Bus Lane, Driving in",0,0
Cell Phone,74,417
Commercial Veh on Pkwy,0,0
Defective Brakes,3,3
Disobey Sign,59,676
Equipment (Other),14,138
Fail to Keep Right,0,0
Fail to Signal,8,47
Fail to Stop on Signal,45,242
Following Too Closely,0,5
Headlights (Defect. or Improper),84,874
Improper Lights,1,8
Improper Passing,4,25
Improper Turn,19,98
Improper/Missing Plates,8,33
Not Giving R of W to Pedes.,14,97
Not Giving R of W to Veh.,1,7
One Way Street,5,12
Pavement Markings,6,37
Safety Belt,64,483
"School Bus, Passing Stopped",0,14
Speeding,82,350
Spillback,0,0
Tinted Windows,28,734
Truck Routes,0,4
U-Turn,2,7
Uninspected,7,140
Uninsured,69,1429
Unlicensed Operator,117,1099
Unregistered,8,123
Unsafe Lane Change,0,2
Other Movers,27,247
101    TOTAL Movers ,848,8035
