Queens South,,
    July ,,
pbqssum,,
"",MTD   2014,YTD   2014
Backing Unsafely,9,98
Brake Lights (Defect.or Improper),327,2457
"Bus Lane, Driving in",0,0
Cell Phone,822,5634
Commercial Veh on Pkwy,0,4
Defective Brakes,3,21
Disobey Sign,1372,8773
Equipment (Other),34,302
Fail to Keep Right,0,5
Fail to Signal,67,629
Fail to Stop on Signal,283,2025
Following Too Closely,5,23
Headlights (Defect. or Improper),220,1708
Improper Lights,51,327
Improper Passing,31,178
Improper Turn,678,5345
Improper/Missing Plates,21,166
Not Giving R of W to Pedes.,238,1443
Not Giving R of W to Veh.,22,194
One Way Street,15,68
Pavement Markings,153,1314
Safety Belt,1410,8480
"School Bus, Passing Stopped",2,104
Speeding,213,1990
Spillback,5,92
Tinted Windows,573,6372
Truck Routes,38,256
U-Turn,87,671
Uninspected,48,546
Uninsured,520,5012
Unlicensed Operator,613,4893
Unregistered,82,717
Unsafe Lane Change,8,99
Other Movers,448,3068
PBQS   TOTAL Movers ,8398,63014
