"Moving Violations",,
"111th Precinct",,
"    July ",,
111sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",0,2
"Brake Lights (Defect.or Improper)",1,3
"Bus Lane, Driving in",0,0
"Cell Phone",193,1682
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",60,374
"Equipment (Other)",0,10
"Fail to Keep Right",0,0
"Fail to Signal",6,35
"Fail to Stop on Signal",12,156
"Following Too Closely",0,2
"Headlights (Defect. or Improper)",0,1
"Improper Lights",2,19
"Improper Passing",0,1
"Improper Turn",7,79
"Improper/Missing Plates",2,18
"Not Giving R of W to Pedes.",40,189
"Not Giving R of W to Veh.",0,3
"One Way Street",2,9
"Pavement Markings",42,322
"Safety Belt",108,1105
"School Bus, Passing Stopped",0,11
Speeding,60,354
Spillback,0,13
"Tinted Windows",68,527
"Truck Routes",0,17
U-Turn,2,12
Uninspected,11,67
Uninsured,18,156
"Unlicensed Operator",38,347
Unregistered,6,56
"Unsafe Lane Change",0,9
"Other Movers",103,670
"111    TOTAL Movers ",781,6249
"* All figures are preliminary and subject to change.",,
