Midtown South Precinct,,
    July ,,
014sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,5,23
Brake Lights (Defect.or Improper),6,304
"Bus Lane, Driving in",1,2
Cell Phone,224,1834
Commercial Veh on Pkwy,0,0
Defective Brakes,10,11
Disobey Sign,415,2376
Equipment (Other),0,12
Fail to Keep Right,0,3
Fail to Signal,35,201
Fail to Stop on Signal,62,303
Following Too Closely,0,1
Headlights (Defect. or Improper),16,754
Improper Lights,0,6
Improper Passing,0,0
Improper Turn,276,1799
Improper/Missing Plates,0,3
Not Giving R of W to Pedes.,149,1023
Not Giving R of W to Veh.,0,5
One Way Street,27,73
Pavement Markings,31,76
Safety Belt,188,1455
"School Bus, Passing Stopped",0,2
Speeding,8,35
Spillback,100,590
Tinted Windows,11,286
Truck Routes,17,150
U-Turn,27,204
Uninspected,2,12
Uninsured,84,708
Unlicensed Operator,40,332
Unregistered,21,131
Unsafe Lane Change,18,139
Other Movers,94,627
014    TOTAL Movers ,1867,13480
