"Moving Violations",,
"43rd Precinct",,
"    July ",,
043sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",6,62
"Brake Lights (Defect.or Improper)",19,200
"Bus Lane, Driving in",0,0
"Cell Phone",128,534
"Commercial Veh on Pkwy",0,1
"Defective Brakes",0,0
"Disobey Sign",209,792
"Equipment (Other)",8,24
"Fail to Keep Right",0,6
"Fail to Signal",84,370
"Fail to Stop on Signal",50,206
"Following Too Closely",1,4
"Headlights (Defect. or Improper)",26,188
"Improper Lights",2,16
"Improper Passing",5,21
"Improper Turn",185,802
"Improper/Missing Plates",9,109
"Not Giving R of W to Pedes.",10,161
"Not Giving R of W to Veh.",5,28
"One Way Street",0,15
"Pavement Markings",62,268
"Safety Belt",87,513
"School Bus, Passing Stopped",0,12
Speeding,36,300
Spillback,1,7
"Tinted Windows",66,873
"Truck Routes",0,4
U-Turn,5,33
Uninspected,3,8
Uninsured,19,149
"Unlicensed Operator",67,417
Unregistered,11,61
"Unsafe Lane Change",44,141
"Other Movers",75,368
"043    TOTAL Movers ",1223,6693
"* All figures are preliminary and subject to change.",,
