"Moving Violations",,
"Staten Island",,
"    July ",,
pbsisum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",2,35
"Brake Lights (Defect.or Improper)",136,1213
"Bus Lane, Driving in",3,79
"Cell Phone",391,2575
"Commercial Veh on Pkwy",5,20
"Defective Brakes",0,5
"Disobey Sign",744,5208
"Equipment (Other)",36,287
"Fail to Keep Right",4,20
"Fail to Signal",187,1539
"Fail to Stop on Signal",164,1280
"Following Too Closely",10,76
"Headlights (Defect. or Improper)",107,1106
"Improper Lights",10,71
"Improper Passing",10,103
"Improper Turn",34,334
"Improper/Missing Plates",39,309
"Not Giving R of W to Pedes.",20,362
"Not Giving R of W to Veh.",21,138
"One Way Street",7,61
"Pavement Markings",232,2093
"Safety Belt",552,3099
"School Bus, Passing Stopped",2,84
Speeding,587,3865
Spillback,2,30
"Tinted Windows",188,1285
"Truck Routes",12,77
U-Turn,17,171
Uninspected,31,435
Uninsured,274,2137
"Unlicensed Operator",364,2787
Unregistered,58,462
"Unsafe Lane Change",8,87
"Other Movers",496,2320
"PBSI   TOTAL Movers ",4753,33753
"* All figures are preliminary and subject to change.",,
