"Moving Violations",,
"28th Precinct",,
"    July ",,
028sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",0,7
"Brake Lights (Defect.or Improper)",13,66
"Bus Lane, Driving in",5,11
"Cell Phone",70,867
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",121,750
"Equipment (Other)",0,25
"Fail to Keep Right",0,10
"Fail to Signal",8,57
"Fail to Stop on Signal",114,455
"Following Too Closely",1,3
"Headlights (Defect. or Improper)",5,42
"Improper Lights",0,0
"Improper Passing",2,5
"Improper Turn",61,446
"Improper/Missing Plates",0,3
"Not Giving R of W to Pedes.",48,308
"Not Giving R of W to Veh.",24,78
"One Way Street",0,6
"Pavement Markings",1,27
"Safety Belt",76,696
"School Bus, Passing Stopped",1,12
Speeding,38,391
Spillback,1,22
"Tinted Windows",7,164
"Truck Routes",11,56
U-Turn,32,325
Uninspected,2,58
Uninsured,15,98
"Unlicensed Operator",20,129
Unregistered,5,44
"Unsafe Lane Change",8,20
"Other Movers",67,377
"028    TOTAL Movers ",756,5558
"* All figures are preliminary and subject to change.",,
