Midtown North Precinct,,
    July ,,
018sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,5,13
Brake Lights (Defect.or Improper),29,174
"Bus Lane, Driving in",2,35
Cell Phone,179,1391
Commercial Veh on Pkwy,0,0
Defective Brakes,2,2
Disobey Sign,95,778
Equipment (Other),1,8
Fail to Keep Right,0,3
Fail to Signal,17,146
Fail to Stop on Signal,68,501
Following Too Closely,1,2
Headlights (Defect. or Improper),35,217
Improper Lights,0,0
Improper Passing,1,2
Improper Turn,388,2337
Improper/Missing Plates,6,42
Not Giving R of W to Pedes.,21,141
Not Giving R of W to Veh.,1,4
One Way Street,5,60
Pavement Markings,10,105
Safety Belt,95,1136
"School Bus, Passing Stopped",0,11
Speeding,10,39
Spillback,7,81
Tinted Windows,10,109
Truck Routes,0,15
U-Turn,8,86
Uninspected,1,24
Uninsured,63,422
Unlicensed Operator,12,169
Unregistered,22,132
Unsafe Lane Change,7,37
Other Movers,64,269
018    TOTAL Movers ,1165,8491
