"Moving Violations",,
"46th Precinct",,
"    July ",,
046sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",11,41
"Brake Lights (Defect.or Improper)",22,273
"Bus Lane, Driving in",1,29
"Cell Phone",62,422
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",197,1141
"Equipment (Other)",0,89
"Fail to Keep Right",2,2
"Fail to Signal",26,157
"Fail to Stop on Signal",24,274
"Following Too Closely",1,1
"Headlights (Defect. or Improper)",22,186
"Improper Lights",1,2
"Improper Passing",3,12
"Improper Turn",86,231
"Improper/Missing Plates",1,19
"Not Giving R of W to Pedes.",31,230
"Not Giving R of W to Veh.",5,24
"One Way Street",7,48
"Pavement Markings",12,88
"Safety Belt",37,260
"School Bus, Passing Stopped",0,20
Speeding,54,417
Spillback,0,2
"Tinted Windows",197,1177
"Truck Routes",0,10
U-Turn,56,261
Uninspected,0,15
Uninsured,99,815
"Unlicensed Operator",40,335
Unregistered,15,135
"Unsafe Lane Change",1,14
"Other Movers",91,737
"046    TOTAL Movers ",1104,7467
"* All figures are preliminary and subject to change.",,
