60th Precinct,,
    July ,,
060sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,1,10
Brake Lights (Defect.or Improper),5,55
"Bus Lane, Driving in",0,0
Cell Phone,114,788
Commercial Veh on Pkwy,0,0
Defective Brakes,0,4
Disobey Sign,119,1124
Equipment (Other),0,4
Fail to Keep Right,0,1
Fail to Signal,16,94
Fail to Stop on Signal,19,169
Following Too Closely,0,0
Headlights (Defect. or Improper),10,97
Improper Lights,0,6
Improper Passing,0,2
Improper Turn,17,190
Improper/Missing Plates,4,10
Not Giving R of W to Pedes.,5,138
Not Giving R of W to Veh.,2,9
One Way Street,0,2
Pavement Markings,5,82
Safety Belt,86,563
"School Bus, Passing Stopped",1,14
Speeding,48,302
Spillback,0,0
Tinted Windows,93,690
Truck Routes,0,1
U-Turn,7,90
Uninspected,0,5
Uninsured,39,204
Unlicensed Operator,30,223
Unregistered,2,26
Unsafe Lane Change,1,14
Other Movers,41,301
060    TOTAL Movers ,665,5218
