"Moving Violations",,
"107th Precinct",,
"    July ",,
107sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",2,7
"Brake Lights (Defect.or Improper)",58,484
"Bus Lane, Driving in",0,0
"Cell Phone",53,646
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",211,1088
"Equipment (Other)",0,7
"Fail to Keep Right",0,1
"Fail to Signal",15,44
"Fail to Stop on Signal",21,127
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",18,176
"Improper Lights",0,47
"Improper Passing",3,22
"Improper Turn",142,1515
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",9,89
"Not Giving R of W to Veh.",9,60
"One Way Street",3,10
"Pavement Markings",17,116
"Safety Belt",343,1525
"School Bus, Passing Stopped",1,12
Speeding,26,303
Spillback,0,4
"Tinted Windows",9,330
"Truck Routes",0,7
U-Turn,5,52
Uninspected,1,14
Uninsured,30,242
"Unlicensed Operator",63,470
Unregistered,0,22
"Unsafe Lane Change",1,2
"Other Movers",30,252
"107    TOTAL Movers ",1070,7674
"* All figures are preliminary and subject to change.",,
