"Moving Violations",,
"72nd Precinct",,
"    July ",,
072sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",2,18
"Brake Lights (Defect.or Improper)",3,19
"Bus Lane, Driving in",0,0
"Cell Phone",53,496
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",118,756
"Equipment (Other)",0,1
"Fail to Keep Right",0,0
"Fail to Signal",5,62
"Fail to Stop on Signal",87,646
"Following Too Closely",4,38
"Headlights (Defect. or Improper)",4,41
"Improper Lights",0,1
"Improper Passing",1,11
"Improper Turn",23,252
"Improper/Missing Plates",4,76
"Not Giving R of W to Pedes.",14,206
"Not Giving R of W to Veh.",10,45
"One Way Street",5,27
"Pavement Markings",30,441
"Safety Belt",78,453
"School Bus, Passing Stopped",0,25
Speeding,38,251
Spillback,1,10
"Tinted Windows",23,254
"Truck Routes",6,29
U-Turn,21,178
Uninspected,2,24
Uninsured,32,333
"Unlicensed Operator",48,426
Unregistered,15,119
"Unsafe Lane Change",8,77
"Other Movers",25,310
"072    TOTAL Movers ",660,5625
"* All figures are preliminary and subject to change.",,
