"Moving Violations",,
"115th Precinct",,
"    July ",,
115sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",1,17
"Brake Lights (Defect.or Improper)",0,1
"Bus Lane, Driving in",0,0
"Cell Phone",102,595
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",101,1166
"Equipment (Other)",13,142
"Fail to Keep Right",0,0
"Fail to Signal",20,166
"Fail to Stop on Signal",89,549
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",0,8
"Improper Lights",102,945
"Improper Passing",7,38
"Improper Turn",109,786
"Improper/Missing Plates",6,74
"Not Giving R of W to Pedes.",74,415
"Not Giving R of W to Veh.",4,20
"One Way Street",4,38
"Pavement Markings",8,58
"Safety Belt",223,1563
"School Bus, Passing Stopped",0,18
Speeding,21,170
Spillback,2,13
"Tinted Windows",53,977
"Truck Routes",9,122
U-Turn,0,8
Uninspected,17,231
Uninsured,157,1819
"Unlicensed Operator",323,3015
Unregistered,13,211
"Unsafe Lane Change",0,2
"Other Movers",61,670
"115    TOTAL Movers ",1519,13838
"* All figures are preliminary and subject to change.",,
