109th Precinct,,
    July ,,
109sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,3,7
Brake Lights (Defect.or Improper),3,29
"Bus Lane, Driving in",0,0
Cell Phone,185,1535
Commercial Veh on Pkwy,0,1
Defective Brakes,0,1
Disobey Sign,704,4699
Equipment (Other),11,87
Fail to Keep Right,0,6
Fail to Signal,1,75
Fail to Stop on Signal,103,720
Following Too Closely,0,7
Headlights (Defect. or Improper),2,18
Improper Lights,0,0
Improper Passing,8,33
Improper Turn,83,413
Improper/Missing Plates,15,63
Not Giving R of W to Pedes.,97,577
Not Giving R of W to Veh.,44,108
One Way Street,5,25
Pavement Markings,17,145
Safety Belt,407,2563
"School Bus, Passing Stopped",0,48
Speeding,76,398
Spillback,26,71
Tinted Windows,164,1000
Truck Routes,8,87
U-Turn,12,59
Uninspected,2,53
Uninsured,35,229
Unlicensed Operator,108,787
Unregistered,24,132
Unsafe Lane Change,9,40
Other Movers,166,760
109    TOTAL Movers ,2318,14776
