"Moving Violations",,
"32nd Precinct",,
"    July ",,
032sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",3,37
"Brake Lights (Defect.or Improper)",36,274
"Bus Lane, Driving in",0,0
"Cell Phone",60,430
"Commercial Veh on Pkwy",0,5
"Defective Brakes",9,15
"Disobey Sign",107,620
"Equipment (Other)",6,60
"Fail to Keep Right",0,2
"Fail to Signal",75,591
"Fail to Stop on Signal",72,217
"Following Too Closely",2,6
"Headlights (Defect. or Improper)",40,350
"Improper Lights",1,7
"Improper Passing",0,1
"Improper Turn",22,251
"Improper/Missing Plates",1,7
"Not Giving R of W to Pedes.",26,215
"Not Giving R of W to Veh.",3,20
"One Way Street",8,16
"Pavement Markings",142,1034
"Safety Belt",60,336
"School Bus, Passing Stopped",0,15
Speeding,18,146
Spillback,2,16
"Tinted Windows",40,367
"Truck Routes",5,26
U-Turn,5,90
Uninspected,4,27
Uninsured,61,367
"Unlicensed Operator",52,281
Unregistered,17,83
"Unsafe Lane Change",7,27
"Other Movers",41,244
"032    TOTAL Movers ",925,6183
"* All figures are preliminary and subject to change.",,
