Queens North,,
    July ,,
pbqnsum,,
"",MTD   2014,YTD   2014
Backing Unsafely,11,71
Brake Lights (Defect.or Improper),31,331
"Bus Lane, Driving in",0,0
Cell Phone,1103,8934
Commercial Veh on Pkwy,0,7
Defective Brakes,0,2
Disobey Sign,1639,13008
Equipment (Other),35,340
Fail to Keep Right,2,15
Fail to Signal,65,673
Fail to Stop on Signal,454,3334
Following Too Closely,1,18
Headlights (Defect. or Improper),24,210
Improper Lights,109,1045
Improper Passing,21,160
Improper Turn,456,3316
Improper/Missing Plates,39,252
Not Giving R of W to Pedes.,369,3433
Not Giving R of W to Veh.,54,174
One Way Street,39,216
Pavement Markings,102,1071
Safety Belt,1570,10268
"School Bus, Passing Stopped",1,168
Speeding,644,4465
Spillback,33,140
Tinted Windows,480,4547
Truck Routes,58,637
U-Turn,14,117
Uninspected,46,497
Uninsured,405,3955
Unlicensed Operator,844,6912
Unregistered,84,748
Unsafe Lane Change,12,83
Other Movers,783,4588
PBQN   TOTAL Movers ,9528,73735
