"Moving Violations",,
"69th Precinct",,
"    July ",,
069sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",0,20
"Brake Lights (Defect.or Improper)",24,159
"Bus Lane, Driving in",0,1
"Cell Phone",186,1322
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",94,595
"Equipment (Other)",8,29
"Fail to Keep Right",0,0
"Fail to Signal",0,14
"Fail to Stop on Signal",20,216
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",31,152
"Improper Lights",0,9
"Improper Passing",19,212
"Improper Turn",93,600
"Improper/Missing Plates",6,28
"Not Giving R of W to Pedes.",11,80
"Not Giving R of W to Veh.",4,22
"One Way Street",2,2
"Pavement Markings",21,169
"Safety Belt",278,1524
"School Bus, Passing Stopped",0,24
Speeding,63,281
Spillback,0,10
"Tinted Windows",307,1398
"Truck Routes",10,65
U-Turn,0,1
Uninspected,9,42
Uninsured,136,708
"Unlicensed Operator",85,368
Unregistered,30,135
"Unsafe Lane Change",0,0
"Other Movers",77,411
"069    TOTAL Movers ",1514,8598
"* All figures are preliminary and subject to change.",,
