34th Precinct,,
December ,,
034sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,1,2
Brake Lights (Defect.or Improper),3,74
"Bus Lane, Driving in",0,0
Cell Phone,14,630
Commercial Veh on Pkwy,0,5
Defective Brakes,0,1
Disobey Steady Red Signal,8,216
Disobey Traffic Control Device,124,1720
Equipment (Other),3,21
Fail to Keep Right,1,12
Fail to Signal,2,37
Following Too Closely,0,0
Headlights (Defect. or Improper),0,50
Improper Lights,0,11
Improper Passing,0,5
Improper Turn,67,547
Improper/Missing Plates,0,25
Not Giving R of W to Pedes.,8,220
Not Giving R of W to Veh.,0,9
One Way Street,0,4
Pavement Markings,6,81
Safety Belt,15,426
"School Bus, Passing Stopped",2,28
Speeding,22,167
Spillback,0,2
Tinted Windows,19,173
Truck Routes,0,16
U-Turn,1,26
Uninspected,0,10
Uninsured,8,100
Unlicensed Operator,21,272
Unregistered,2,44
Unsafe Lane Change,0,5
Other Movers,21,397
034    TOTAL Movers ,348,5336
