
"Queens North",,
"December ",,
pbqnsum,,
"","MTD   2014","YTD   2014"
"Backing Unsafely",4,112
"Brake Lights (Defect.or Improper)",6,437
"Bus Lane, Driving in",0,0
"Cell Phone",345,12975
"Commercial Veh on Pkwy",0,14
"Defective Brakes",0,2
"Disobey Steady Red Signal",255,5566
"Disobey Traffic Control Device",950,20994
"Equipment (Other)",16,545
"Fail to Keep Right",3,33
"Fail to Signal",105,1241
"Following Too Closely",2,32
"Headlights (Defect. or Improper)",11,316
"Improper Lights",40,1418
"Improper Passing",10,248
"Improper Turn",257,5331
"Improper/Missing Plates",10,339
"Not Giving R of W to Pedes.",229,4983
"Not Giving R of W to Veh.",24,289
"One Way Street",10,392
"Pavement Markings",62,1550
"Safety Belt",350,14939
"School Bus, Passing Stopped",16,889
Speeding,461,8360
Spillback,10,226
"Tinted Windows",369,7354
"Truck Routes",33,779
U-Turn,5,171
Uninspected,19,686
Uninsured,159,5450
"Unlicensed Operator",369,10427
Unregistered,37,1058
"Unsafe Lane Change",8,142
"Other Movers",233,7141
"PBQN   TOTAL Movers ",4408,114439

