72nd Precinct,,
December ,,
072sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,1,27
Brake Lights (Defect.or Improper),2,37
"Bus Lane, Driving in",0,0
Cell Phone,27,741
Commercial Veh on Pkwy,0,0
Defective Brakes,3,6
Disobey Steady Red Signal,61,1089
Disobey Traffic Control Device,71,1214
Equipment (Other),0,1
Fail to Keep Right,0,1
Fail to Signal,5,95
Following Too Closely,6,63
Headlights (Defect. or Improper),10,74
Improper Lights,0,2
Improper Passing,2,18
Improper Turn,21,406
Improper/Missing Plates,6,129
Not Giving R of W to Pedes.,3,341
Not Giving R of W to Veh.,8,79
One Way Street,4,57
Pavement Markings,31,687
Safety Belt,34,758
"School Bus, Passing Stopped",1,55
Speeding,46,429
Spillback,3,15
Tinted Windows,10,372
Truck Routes,1,42
U-Turn,7,256
Uninspected,3,39
Uninsured,21,477
Unlicensed Operator,22,659
Unregistered,11,176
Unsafe Lane Change,14,135
Other Movers,15,441
072    TOTAL Movers ,449,8921
