40th Precinct,,
December ,,
040sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,0,18
Brake Lights (Defect.or Improper),49,671
"Bus Lane, Driving in",0,0
Cell Phone,26,834
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,31,537
Disobey Traffic Control Device,83,1401
Equipment (Other),5,139
Fail to Keep Right,0,32
Fail to Signal,1,180
Following Too Closely,0,4
Headlights (Defect. or Improper),34,749
Improper Lights,0,2
Improper Passing,1,41
Improper Turn,113,1354
Improper/Missing Plates,1,16
Not Giving R of W to Pedes.,5,382
Not Giving R of W to Veh.,4,83
One Way Street,3,26
Pavement Markings,11,121
Safety Belt,19,746
"School Bus, Passing Stopped",0,63
Speeding,81,994
Spillback,1,65
Tinted Windows,31,1611
Truck Routes,0,11
U-Turn,6,130
Uninspected,0,20
Uninsured,48,1219
Unlicensed Operator,39,925
Unregistered,6,165
Unsafe Lane Change,1,22
Other Movers,17,391
040    TOTAL Movers ,616,12952
