109th Precinct,,
December ,,
109sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,0,8
Brake Lights (Defect.or Improper),0,33
"Bus Lane, Driving in",0,0
Cell Phone,51,2039
Commercial Veh on Pkwy,0,1
Defective Brakes,0,1
Disobey Steady Red Signal,46,1078
Disobey Traffic Control Device,292,7599
Equipment (Other),6,144
Fail to Keep Right,0,12
Fail to Signal,15,168
Following Too Closely,0,8
Headlights (Defect. or Improper),0,21
Improper Lights,0,0
Improper Passing,2,60
Improper Turn,54,756
Improper/Missing Plates,3,84
Not Giving R of W to Pedes.,35,806
Not Giving R of W to Veh.,19,179
One Way Street,1,43
Pavement Markings,19,238
Safety Belt,62,3535
"School Bus, Passing Stopped",11,386
Speeding,78,974
Spillback,1,91
Tinted Windows,81,1754
Truck Routes,0,95
U-Turn,1,86
Uninspected,5,83
Uninsured,9,352
Unlicensed Operator,37,1218
Unregistered,9,199
Unsafe Lane Change,5,66
Other Movers,25,1092
109    TOTAL Movers ,867,23209
