69th Precinct,,
December ,,
069sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,2,34
Brake Lights (Defect.or Improper),4,239
"Bus Lane, Driving in",0,1
Cell Phone,58,1973
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,23,306
Disobey Traffic Control Device,105,1142
Equipment (Other),2,42
Fail to Keep Right,0,0
Fail to Signal,0,24
Following Too Closely,0,1
Headlights (Defect. or Improper),11,331
Improper Lights,0,9
Improper Passing,22,300
Improper Turn,56,937
Improper/Missing Plates,3,50
Not Giving R of W to Pedes.,13,147
Not Giving R of W to Veh.,3,31
One Way Street,1,14
Pavement Markings,4,245
Safety Belt,67,2131
"School Bus, Passing Stopped",1,45
Speeding,17,445
Spillback,0,11
Tinted Windows,164,2450
Truck Routes,1,82
U-Turn,0,9
Uninspected,0,75
Uninsured,44,1180
Unlicensed Operator,31,632
Unregistered,8,212
Unsafe Lane Change,0,1
Other Movers,31,691
069    TOTAL Movers ,671,13790
