
"94th Precinct",,
"December ",,
094sum,,
"","MTD   2014","YTD   2014"
"Backing Unsafely",0,8
"Brake Lights (Defect.or Improper)",2,63
"Bus Lane, Driving in",0,1
"Cell Phone",34,776
"Commercial Veh on Pkwy",0,4
"Defective Brakes",0,4
"Disobey Steady Red Signal",36,847
"Disobey Traffic Control Device",50,1214
"Equipment (Other)",1,87
"Fail to Keep Right",0,3
"Fail to Signal",3,68
"Following Too Closely",0,2
"Headlights (Defect. or Improper)",5,185
"Improper Lights",0,0
"Improper Passing",0,32
"Improper Turn",12,393
"Improper/Missing Plates",0,15
"Not Giving R of W to Pedes.",2,123
"Not Giving R of W to Veh.",3,57
"One Way Street",1,111
"Pavement Markings",1,85
"Safety Belt",22,796
"School Bus, Passing Stopped",0,14
Speeding,52,752
Spillback,1,10
"Tinted Windows",69,483
"Truck Routes",9,102
U-Turn,0,11
Uninspected,1,42
Uninsured,14,304
"Unlicensed Operator",16,391
Unregistered,7,96
"Unsafe Lane Change",0,6
"Other Movers",20,677
"094    TOTAL Movers ",361,7762

