83rd Precinct,,
December ,,
083sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,5,50
Brake Lights (Defect.or Improper),15,442
"Bus Lane, Driving in",0,0
Cell Phone,56,1440
Commercial Veh on Pkwy,0,0
Defective Brakes,0,5
Disobey Steady Red Signal,51,711
Disobey Traffic Control Device,219,3760
Equipment (Other),1,29
Fail to Keep Right,1,24
Fail to Signal,27,428
Following Too Closely,0,9
Headlights (Defect. or Improper),8,373
Improper Lights,0,12
Improper Passing,1,27
Improper Turn,9,307
Improper/Missing Plates,3,43
Not Giving R of W to Pedes.,9,167
Not Giving R of W to Veh.,0,21
One Way Street,7,122
Pavement Markings,6,98
Safety Belt,27,993
"School Bus, Passing Stopped",1,23
Speeding,10,76
Spillback,0,4
Tinted Windows,29,438
Truck Routes,4,65
U-Turn,1,6
Uninspected,0,29
Uninsured,20,712
Unlicensed Operator,72,1511
Unregistered,7,200
Unsafe Lane Change,0,11
Other Movers,14,247
083    TOTAL Movers ,603,12383
