48th Precinct,,
December ,,
048sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,2,23
Brake Lights (Defect.or Improper),25,277
"Bus Lane, Driving in",4,79
Cell Phone,67,878
Commercial Veh on Pkwy,0,0
Defective Brakes,1,1
Disobey Steady Red Signal,30,491
Disobey Traffic Control Device,47,890
Equipment (Other),2,46
Fail to Keep Right,1,12
Fail to Signal,7,421
Following Too Closely,1,10
Headlights (Defect. or Improper),21,302
Improper Lights,0,6
Improper Passing,0,15
Improper Turn,107,1422
Improper/Missing Plates,0,12
Not Giving R of W to Pedes.,5,211
Not Giving R of W to Veh.,0,22
One Way Street,0,11
Pavement Markings,27,284
Safety Belt,27,582
"School Bus, Passing Stopped",3,55
Speeding,50,1792
Spillback,3,49
Tinted Windows,34,1219
Truck Routes,5,42
U-Turn,3,74
Uninspected,1,18
Uninsured,23,288
Unlicensed Operator,34,752
Unregistered,11,124
Unsafe Lane Change,0,8
Other Movers,19,266
048    TOTAL Movers ,560,10682
