112th Precinct,,
December ,,
112sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,0,6
Brake Lights (Defect.or Improper),0,15
"Bus Lane, Driving in",0,0
Cell Phone,67,1410
Commercial Veh on Pkwy,0,2
Defective Brakes,0,0
Disobey Steady Red Signal,33,649
Disobey Traffic Control Device,102,2338
Equipment (Other),5,88
Fail to Keep Right,0,2
Fail to Signal,5,88
Following Too Closely,0,1
Headlights (Defect. or Improper),1,16
Improper Lights,0,0
Improper Passing,0,20
Improper Turn,68,622
Improper/Missing Plates,2,16
Not Giving R of W to Pedes.,32,846
Not Giving R of W to Veh.,0,14
One Way Street,0,55
Pavement Markings,2,56
Safety Belt,53,1622
"School Bus, Passing Stopped",1,53
Speeding,75,609
Spillback,0,7
Tinted Windows,41,565
Truck Routes,2,30
U-Turn,0,0
Uninspected,0,13
Uninsured,9,322
Unlicensed Operator,23,410
Unregistered,2,46
Unsafe Lane Change,1,21
Other Movers,22,505
112    TOTAL Movers ,546,10447
