
"Patrol Bureau",,
"December ",,
patrolsum,,
"","MTD   2014","YTD   2014"
"Backing Unsafely",88,1752
"Brake Lights (Defect.or Improper)",803,22121
"Bus Lane, Driving in",26,952
"Cell Phone",3408,97008
"Commercial Veh on Pkwy",13,243
"Defective Brakes",16,292
"Disobey Steady Red Signal",2180,48574
"Disobey Traffic Control Device",6281,130743
"Equipment (Other)",115,4273
"Fail to Keep Right",14,336
"Fail to Signal",988,19055
"Following Too Closely",29,589
"Headlights (Defect. or Improper)",770,21077
"Improper Lights",85,3547
"Improper Passing",146,3496
"Improper Turn",3371,67399
"Improper/Missing Plates",101,2933
"Not Giving R of W to Pedes.",1502,29845
"Not Giving R of W to Veh.",172,2993
"One Way Street",234,4582
"Pavement Markings",863,25738
"Safety Belt",2932,90591
"School Bus, Passing Stopped",158,4489
Speeding,2124,42627
Spillback,136,3889
"Tinted Windows",3330,64449
"Truck Routes",208,4548
U-Turn,343,6914
Uninspected,134,4787
Uninsured,1730,45507
"Unlicensed Operator",2181,51909
Unregistered,478,10953
"Unsafe Lane Change",250,4985
"Other Movers",1805,49299
"PATROL TOTAL Movers ",37014,872495

