"Moving Violations",,
"123rd Precinct",,
"December ",,
123sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",0,8
"Brake Lights (Defect.or Improper)",59,575
"Bus Lane, Driving in",0,0
"Cell Phone",32,856
"Commercial Veh on Pkwy",0,7
"Defective Brakes",0,5
"Disobey Steady Red Signal",35,367
"Disobey Traffic Control Device",28,914
"Equipment (Other)",0,15
"Fail to Keep Right",0,3
"Fail to Signal",7,59
"Following Too Closely",0,49
"Headlights (Defect. or Improper)",21,575
"Improper Lights",0,68
"Improper Passing",0,104
"Improper Turn",3,136
"Improper/Missing Plates",0,119
"Not Giving R of W to Pedes.",1,14
"Not Giving R of W to Veh.",1,25
"One Way Street",0,3
"Pavement Markings",8,250
"Safety Belt",24,1821
"School Bus, Passing Stopped",8,53
Speeding,137,1733
Spillback,0,3
"Tinted Windows",26,835
"Truck Routes",0,17
U-Turn,1,7
Uninspected,3,226
Uninsured,33,999
"Unlicensed Operator",20,616
Unregistered,9,180
"Unsafe Lane Change",3,4
"Other Movers",10,408
"123    TOTAL Movers ",469,11054
"* All figures are preliminary and subject to change.",,
