Manhattan South,,
December ,,
pbmssum,,
"",MTD   2014,YTD   2014
Backing Unsafely,5,151
Brake Lights (Defect.or Improper),56,2232
"Bus Lane, Driving in",4,162
Cell Phone,471,15266
Commercial Veh on Pkwy,7,42
Defective Brakes,1,34
Disobey Steady Red Signal,295,7944
Disobey Traffic Control Device,691,17601
Equipment (Other),9,515
Fail to Keep Right,2,45
Fail to Signal,94,2461
Following Too Closely,1,73
Headlights (Defect. or Improper),56,2528
Improper Lights,16,380
Improper Passing,14,655
Improper Turn,544,16728
Improper/Missing Plates,4,193
Not Giving R of W to Pedes.,227,5045
Not Giving R of W to Veh.,3,120
One Way Street,39,997
Pavement Markings,84,3889
Safety Belt,334,11068
"School Bus, Passing Stopped",12,271
Speeding,37,1224
Spillback,56,2170
Tinted Windows,120,2341
Truck Routes,21,554
U-Turn,12,544
Uninspected,5,154
Uninsured,84,3579
Unlicensed Operator,99,2861
Unregistered,24,927
Unsafe Lane Change,77,2659
Other Movers,162,5767
PBMS   TOTAL Movers ,3666,111180
