"Moving Violations",,
"78th Precinct",,
"December ",,
078sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",2,23
"Brake Lights (Defect.or Improper)",1,108
"Bus Lane, Driving in",0,0
"Cell Phone",37,1301
"Commercial Veh on Pkwy",0,15
"Defective Brakes",1,4
"Disobey Steady Red Signal",33,1396
"Disobey Traffic Control Device",47,1098
"Equipment (Other)",1,4
"Fail to Keep Right",0,0
"Fail to Signal",24,320
"Following Too Closely",1,4
"Headlights (Defect. or Improper)",6,173
"Improper Lights",0,12
"Improper Passing",3,43
"Improper Turn",4,217
"Improper/Missing Plates",0,5
"Not Giving R of W to Pedes.",17,272
"Not Giving R of W to Veh.",0,12
"One Way Street",0,6
"Pavement Markings",15,161
"Safety Belt",45,1010
"School Bus, Passing Stopped",0,30
Speeding,24,323
Spillback,0,148
"Tinted Windows",15,433
"Truck Routes",1,55
U-Turn,19,284
Uninspected,0,9
Uninsured,5,229
"Unlicensed Operator",7,265
Unregistered,3,51
"Unsafe Lane Change",0,19
"Other Movers",4,184
"078    TOTAL Movers ",315,8214
"* All figures are preliminary and subject to change.",,
