
"Staten Island",,
"December ",,
pbsisum,,
"","MTD   2014","YTD   2014"
"Backing Unsafely",2,51
"Brake Lights (Defect.or Improper)",79,1735
"Bus Lane, Driving in",0,116
"Cell Phone",66,3725
"Commercial Veh on Pkwy",1,46
"Defective Brakes",1,9
"Disobey Steady Red Signal",96,2102
"Disobey Traffic Control Device",161,8231
"Equipment (Other)",8,440
"Fail to Keep Right",1,28
"Fail to Signal",94,2515
"Following Too Closely",4,127
"Headlights (Defect. or Improper)",48,1639
"Improper Lights",0,112
"Improper Passing",1,180
"Improper Turn",9,448
"Improper/Missing Plates",12,509
"Not Giving R of W to Pedes.",20,553
"Not Giving R of W to Veh.",3,207
"One Way Street",4,85
"Pavement Markings",79,3170
"Safety Belt",65,4501
"School Bus, Passing Stopped",12,212
Speeding,214,5905
Spillback,1,35
"Tinted Windows",98,2604
"Truck Routes",1,95
U-Turn,9,251
Uninspected,7,541
Uninsured,103,3307
"Unlicensed Operator",161,4321
Unregistered,22,750
"Unsafe Lane Change",11,155
"Other Movers",68,3744
"PBSI   TOTAL Movers ",1461,52449

