Bronx,,
December ,,
pbbxsum,,
"",MTD   2014,YTD   2014
Backing Unsafely,19,380
Brake Lights (Defect.or Improper),270,4603
"Bus Lane, Driving in",9,161
Cell Phone,370,7935
Commercial Veh on Pkwy,0,13
Defective Brakes,1,39
Disobey Steady Red Signal,279,4833
Disobey Traffic Control Device,958,16306
Equipment (Other),11,607
Fail to Keep Right,2,84
Fail to Signal,131,2609
Following Too Closely,3,71
Headlights (Defect. or Improper),194,4341
Improper Lights,7,146
Improper Passing,8,185
Improper Turn,628,9951
Improper/Missing Plates,23,460
Not Giving R of W to Pedes.,149,3129
Not Giving R of W to Veh.,26,415
One Way Street,25,321
Pavement Markings,131,2881
Safety Belt,292,8072
"School Bus, Passing Stopped",72,1125
Speeding,421,8270
Spillback,13,245
Tinted Windows,813,14563
Truck Routes,14,228
U-Turn,67,1310
Uninspected,25,627
Uninsured,433,7010
Unlicensed Operator,351,7409
Unregistered,132,2131
Unsafe Lane Change,90,664
Other Movers,239,4310
PBBX   TOTAL Movers ,6206,115434
