"Moving Violations",,
"71st Precinct",,
"December ",,
071sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",4,71
"Brake Lights (Defect.or Improper)",2,197
"Bus Lane, Driving in",1,212
"Cell Phone",144,1994
"Commercial Veh on Pkwy",0,7
"Defective Brakes",0,2
"Disobey Steady Red Signal",45,1155
"Disobey Traffic Control Device",209,3939
"Equipment (Other)",1,213
"Fail to Keep Right",0,0
"Fail to Signal",33,630
"Following Too Closely",0,11
"Headlights (Defect. or Improper)",1,109
"Improper Lights",0,11
"Improper Passing",5,67
"Improper Turn",37,819
"Improper/Missing Plates",1,129
"Not Giving R of W to Pedes.",26,651
"Not Giving R of W to Veh.",17,197
"One Way Street",1,138
"Pavement Markings",11,809
"Safety Belt",79,1297
"School Bus, Passing Stopped",1,69
Speeding,22,499
Spillback,3,52
"Tinted Windows",19,1799
"Truck Routes",6,136
U-Turn,3,71
Uninspected,3,388
Uninsured,29,963
"Unlicensed Operator",55,1095
Unregistered,7,256
"Unsafe Lane Change",0,24
"Other Movers",33,684
"071    TOTAL Movers ",798,18694
"* All figures are preliminary and subject to change.",,
