"Moving Violations",,
"88th Precinct",,
"December ",,
088sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",0,15
"Brake Lights (Defect.or Improper)",8,188
"Bus Lane, Driving in",0,0
"Cell Phone",58,1937
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",25,725
"Disobey Traffic Control Device",47,1398
"Equipment (Other)",0,12
"Fail to Keep Right",0,0
"Fail to Signal",8,84
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",21,321
"Improper Lights",0,0
"Improper Passing",0,5
"Improper Turn",10,116
"Improper/Missing Plates",3,25
"Not Giving R of W to Pedes.",2,101
"Not Giving R of W to Veh.",0,57
"One Way Street",1,23
"Pavement Markings",33,375
"Safety Belt",55,1321
"School Bus, Passing Stopped",2,15
Speeding,10,193
Spillback,0,11
"Tinted Windows",13,150
"Truck Routes",0,17
U-Turn,0,2
Uninspected,2,59
Uninsured,25,575
"Unlicensed Operator",13,294
Unregistered,4,114
"Unsafe Lane Change",0,2
"Other Movers",9,429
"088    TOTAL Movers ",349,8565
"* All figures are preliminary and subject to change.",,
