70th Precinct,,
December ,,
070sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,0,50
Brake Lights (Defect.or Improper),0,0
"Bus Lane, Driving in",0,0
Cell Phone,76,2385
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,31,798
Disobey Traffic Control Device,70,1531
Equipment (Other),1,113
Fail to Keep Right,0,0
Fail to Signal,0,1
Following Too Closely,1,15
Headlights (Defect. or Improper),0,0
Improper Lights,9,807
Improper Passing,10,206
Improper Turn,45,2212
Improper/Missing Plates,0,1
Not Giving R of W to Pedes.,34,1079
Not Giving R of W to Veh.,6,132
One Way Street,0,1
Pavement Markings,0,7
Safety Belt,64,2410
"School Bus, Passing Stopped",3,51
Speeding,19,533
Spillback,3,192
Tinted Windows,88,1207
Truck Routes,1,37
U-Turn,0,0
Uninspected,0,29
Uninsured,20,1492
Unlicensed Operator,22,1079
Unregistered,5,146
Unsafe Lane Change,12,104
Other Movers,0,549
070    TOTAL Movers ,520,17167
