32nd Precinct,,
December ,,
032sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,0,52
Brake Lights (Defect.or Improper),12,392
"Bus Lane, Driving in",0,0
Cell Phone,3,544
Commercial Veh on Pkwy,0,5
Defective Brakes,0,27
Disobey Steady Red Signal,22,466
Disobey Traffic Control Device,124,1434
Equipment (Other),2,87
Fail to Keep Right,0,2
Fail to Signal,20,786
Following Too Closely,3,11
Headlights (Defect. or Improper),38,556
Improper Lights,0,11
Improper Passing,0,6
Improper Turn,19,375
Improper/Missing Plates,0,12
Not Giving R of W to Pedes.,2,316
Not Giving R of W to Veh.,3,27
One Way Street,0,25
Pavement Markings,11,1408
Safety Belt,5,416
"School Bus, Passing Stopped",0,67
Speeding,39,338
Spillback,0,21
Tinted Windows,37,606
Truck Routes,1,30
U-Turn,1,117
Uninspected,4,49
Uninsured,6,486
Unlicensed Operator,23,447
Unregistered,3,129
Unsafe Lane Change,1,34
Other Movers,12,361
032    TOTAL Movers ,391,9643
