"Moving Violations",,
"120th Precinct",,
"December ",,
120sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",0,17
"Brake Lights (Defect.or Improper)",2,422
"Bus Lane, Driving in",0,1
"Cell Phone",15,1057
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",24,749
"Disobey Traffic Control Device",39,1876
"Equipment (Other)",1,175
"Fail to Keep Right",0,11
"Fail to Signal",10,562
"Following Too Closely",0,8
"Headlights (Defect. or Improper)",3,439
"Improper Lights",0,5
"Improper Passing",1,39
"Improper Turn",1,64
"Improper/Missing Plates",2,150
"Not Giving R of W to Pedes.",4,261
"Not Giving R of W to Veh.",1,55
"One Way Street",0,21
"Pavement Markings",6,696
"Safety Belt",24,1100
"School Bus, Passing Stopped",1,47
Speeding,20,1113
Spillback,0,5
"Tinted Windows",27,623
"Truck Routes",0,1
U-Turn,0,25
Uninspected,1,160
Uninsured,13,592
"Unlicensed Operator",41,1442
Unregistered,1,300
"Unsafe Lane Change",0,11
"Other Movers",19,1247
"120    TOTAL Movers ",256,13274
"* All figures are preliminary and subject to change.",,
