
"77th Precinct",,
"December ",,
077sum,,
"","MTD   2014","YTD   2014"
"Backing Unsafely",1,36
"Brake Lights (Defect.or Improper)",52,918
"Bus Lane, Driving in",4,35
"Cell Phone",36,1065
"Commercial Veh on Pkwy",0,0
"Defective Brakes",6,37
"Disobey Steady Red Signal",31,852
"Disobey Traffic Control Device",129,2023
"Equipment (Other)",0,4
"Fail to Keep Right",0,5
"Fail to Signal",26,252
"Following Too Closely",3,12
"Headlights (Defect. or Improper)",53,1579
"Improper Lights",0,0
"Improper Passing",3,40
"Improper Turn",53,465
"Improper/Missing Plates",0,2
"Not Giving R of W to Pedes.",13,307
"Not Giving R of W to Veh.",3,40
"One Way Street",4,80
"Pavement Markings",3,146
"Safety Belt",14,751
"School Bus, Passing Stopped",2,40
Speeding,125,1477
Spillback,6,50
"Tinted Windows",10,796
"Truck Routes",0,15
U-Turn,1,119
Uninspected,2,70
Uninsured,16,828
"Unlicensed Operator",28,660
Unregistered,12,219
"Unsafe Lane Change",2,15
"Other Movers",27,1018
"077    TOTAL Movers ",665,13956

