"Moving Violations",,
"26th Precinct",,
"December ",,
026sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",0,3
"Brake Lights (Defect.or Improper)",4,122
"Bus Lane, Driving in",0,0
"Cell Phone",32,1140
"Commercial Veh on Pkwy",0,9
"Defective Brakes",0,3
"Disobey Steady Red Signal",6,394
"Disobey Traffic Control Device",15,702
"Equipment (Other)",0,61
"Fail to Keep Right",1,12
"Fail to Signal",2,37
"Following Too Closely",0,2
"Headlights (Defect. or Improper)",4,100
"Improper Lights",0,1
"Improper Passing",0,9
"Improper Turn",26,785
"Improper/Missing Plates",0,11
"Not Giving R of W to Pedes.",54,506
"Not Giving R of W to Veh.",1,17
"One Way Street",0,28
"Pavement Markings",22,428
"Safety Belt",4,277
"School Bus, Passing Stopped",0,16
Speeding,30,1048
Spillback,0,3
"Tinted Windows",0,135
"Truck Routes",0,0
U-Turn,5,63
Uninspected,0,14
Uninsured,6,140
"Unlicensed Operator",8,232
Unregistered,4,52
"Unsafe Lane Change",0,14
"Other Movers",20,305
"026    TOTAL Movers ",244,6669
"* All figures are preliminary and subject to change.",,
