"Moving Violations",,
"28th Precinct",,
"December ",,
028sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",0,11
"Brake Lights (Defect.or Improper)",4,125
"Bus Lane, Driving in",0,18
"Cell Phone",44,1262
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",36,1045
"Disobey Traffic Control Device",88,1540
"Equipment (Other)",4,78
"Fail to Keep Right",0,17
"Fail to Signal",2,87
"Following Too Closely",0,5
"Headlights (Defect. or Improper)",23,136
"Improper Lights",0,0
"Improper Passing",0,11
"Improper Turn",26,685
"Improper/Missing Plates",0,3
"Not Giving R of W to Pedes.",12,507
"Not Giving R of W to Veh.",5,124
"One Way Street",0,13
"Pavement Markings",0,36
"Safety Belt",53,1263
"School Bus, Passing Stopped",2,16
Speeding,28,543
Spillback,0,37
"Tinted Windows",10,269
"Truck Routes",13,119
U-Turn,49,501
Uninspected,0,68
Uninsured,16,186
"Unlicensed Operator",4,235
Unregistered,7,80
"Unsafe Lane Change",0,31
"Other Movers",20,627
"028    TOTAL Movers ",446,9678
"* All figures are preliminary and subject to change.",,
