62nd Precinct,,
December ,,
062sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,0,12
Brake Lights (Defect.or Improper),9,112
"Bus Lane, Driving in",0,0
Cell Phone,33,919
Commercial Veh on Pkwy,0,3
Defective Brakes,0,0
Disobey Steady Red Signal,102,847
Disobey Traffic Control Device,71,2101
Equipment (Other),0,40
Fail to Keep Right,0,4
Fail to Signal,75,355
Following Too Closely,0,5
Headlights (Defect. or Improper),0,30
Improper Lights,1,34
Improper Passing,11,96
Improper Turn,11,229
Improper/Missing Plates,4,69
Not Giving R of W to Pedes.,66,469
Not Giving R of W to Veh.,3,66
One Way Street,36,224
Pavement Markings,7,177
Safety Belt,72,1144
"School Bus, Passing Stopped",2,55
Speeding,18,390
Spillback,0,4
Tinted Windows,106,964
Truck Routes,0,17
U-Turn,1,66
Uninspected,3,11
Uninsured,22,402
Unlicensed Operator,45,544
Unregistered,4,98
Unsafe Lane Change,0,45
Other Movers,45,612
062    TOTAL Movers ,747,10144
