
"41st Precinct",,
"December ",,
041sum,,
"","MTD   2014","YTD   2014"
"Backing Unsafely",1,24
"Brake Lights (Defect.or Improper)",10,261
"Bus Lane, Driving in",0,0
"Cell Phone",17,342
"Commercial Veh on Pkwy",0,3
"Defective Brakes",0,5
"Disobey Steady Red Signal",31,554
"Disobey Traffic Control Device",188,2052
"Equipment (Other)",0,68
"Fail to Keep Right",0,2
"Fail to Signal",10,118
"Following Too Closely",0,25
"Headlights (Defect. or Improper)",12,593
"Improper Lights",0,13
"Improper Passing",2,20
"Improper Turn",63,871
"Improper/Missing Plates",3,31
"Not Giving R of W to Pedes.",23,398
"Not Giving R of W to Veh.",1,18
"One Way Street",1,36
"Pavement Markings",23,356
"Safety Belt",24,480
"School Bus, Passing Stopped",0,44
Speeding,64,874
Spillback,1,25
"Tinted Windows",24,1035
"Truck Routes",6,55
U-Turn,32,443
Uninspected,4,57
Uninsured,86,893
"Unlicensed Operator",29,597
Unregistered,26,246
"Unsafe Lane Change",3,23
"Other Movers",18,229
"041    TOTAL Movers ",702,10791

