
"102nd Precinct",,
"December ",,
102sum,,
"","MTD   2014","YTD   2014"
"Backing Unsafely",1,20
"Brake Lights (Defect.or Improper)",8,271
"Bus Lane, Driving in",0,0
"Cell Phone",16,1178
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,17
"Disobey Steady Red Signal",16,450
"Disobey Traffic Control Device",96,2194
"Equipment (Other)",0,6
"Fail to Keep Right",0,8
"Fail to Signal",10,232
"Following Too Closely",0,3
"Headlights (Defect. or Improper)",2,118
"Improper Lights",1,108
"Improper Passing",2,35
"Improper Turn",15,514
"Improper/Missing Plates",0,10
"Not Giving R of W to Pedes.",10,444
"Not Giving R of W to Veh.",1,44
"One Way Street",0,15
"Pavement Markings",0,134
"Safety Belt",24,1204
"School Bus, Passing Stopped",0,30
Speeding,4,435
Spillback,0,16
"Tinted Windows",55,616
"Truck Routes",0,22
U-Turn,0,20
Uninspected,0,30
Uninsured,24,563
"Unlicensed Operator",26,599
Unregistered,2,89
"Unsafe Lane Change",2,68
"Other Movers",19,570
"102    TOTAL Movers ",334,10063

