
"106th Precinct",,
"December ",,
106sum,,
"","MTD   2014","YTD   2014"
"Backing Unsafely",1,12
"Brake Lights (Defect.or Improper)",1,2
"Bus Lane, Driving in",0,0
"Cell Phone",13,662
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,9
"Disobey Steady Red Signal",48,1118
"Disobey Traffic Control Device",84,1196
"Equipment (Other)",0,0
"Fail to Keep Right",0,1
"Fail to Signal",0,6
"Following Too Closely",1,4
"Headlights (Defect. or Improper)",0,5
"Improper Lights",6,281
"Improper Passing",1,53
"Improper Turn",120,1768
"Improper/Missing Plates",1,3
"Not Giving R of W to Pedes.",12,279
"Not Giving R of W to Veh.",3,83
"One Way Street",0,42
"Pavement Markings",0,115
"Safety Belt",55,1474
"School Bus, Passing Stopped",0,24
Speeding,14,293
Spillback,2,18
"Tinted Windows",34,813
"Truck Routes",2,138
U-Turn,0,0
Uninspected,3,83
Uninsured,49,1255
"Unlicensed Operator",33,633
Unregistered,4,140
"Unsafe Lane Change",0,15
"Other Movers",13,476
"106    TOTAL Movers ",500,11001

