
"73rd Precinct",,
"December ",,
073sum,,
"","MTD   2014","YTD   2014"
"Backing Unsafely",0,41
"Brake Lights (Defect.or Improper)",6,497
"Bus Lane, Driving in",0,0
"Cell Phone",77,2463
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,3
"Disobey Steady Red Signal",5,836
"Disobey Traffic Control Device",100,1856
"Equipment (Other)",3,25
"Fail to Keep Right",0,2
"Fail to Signal",26,402
"Following Too Closely",0,7
"Headlights (Defect. or Improper)",6,460
"Improper Lights",1,1
"Improper Passing",1,63
"Improper Turn",52,672
"Improper/Missing Plates",2,117
"Not Giving R of W to Pedes.",7,282
"Not Giving R of W to Veh.",22,246
"One Way Street",0,18
"Pavement Markings",4,359
"Safety Belt",58,1549
"School Bus, Passing Stopped",1,40
Speeding,23,438
Spillback,1,56
"Tinted Windows",42,2352
"Truck Routes",0,4
U-Turn,0,0
Uninspected,6,174
Uninsured,29,969
"Unlicensed Operator",40,1058
Unregistered,18,370
"Unsafe Lane Change",0,18
"Other Movers",82,1478
"073    TOTAL Movers ",612,16856

