108th Precinct,,
December ,,
108sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,0,21
Brake Lights (Defect.or Improper),0,193
"Bus Lane, Driving in",0,0
Cell Phone,45,1355
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Steady Red Signal,34,639
Disobey Traffic Control Device,175,2712
Equipment (Other),0,42
Fail to Keep Right,2,6
Fail to Signal,0,47
Following Too Closely,0,2
Headlights (Defect. or Improper),0,85
Improper Lights,1,1
Improper Passing,1,18
Improper Turn,50,1513
Improper/Missing Plates,0,4
Not Giving R of W to Pedes.,58,521
Not Giving R of W to Veh.,1,7
One Way Street,0,35
Pavement Markings,0,27
Safety Belt,23,1039
"School Bus, Passing Stopped",0,18
Speeding,16,577
Spillback,1,27
Tinted Windows,17,450
Truck Routes,0,137
U-Turn,0,4
Uninspected,0,43
Uninsured,20,619
Unlicensed Operator,23,655
Unregistered,3,69
Unsafe Lane Change,1,13
Other Movers,17,852
108    TOTAL Movers ,488,11731
