
"20th Precinct",,
"December ",,
020sum,,
"","MTD   2014","YTD   2014"
"Backing Unsafely",0,6
"Brake Lights (Defect.or Improper)",2,131
"Bus Lane, Driving in",0,0
"Cell Phone",97,2368
"Commercial Veh on Pkwy",0,1
"Defective Brakes",0,7
"Disobey Steady Red Signal",46,868
"Disobey Traffic Control Device",165,2350
"Equipment (Other)",6,113
"Fail to Keep Right",0,2
"Fail to Signal",6,242
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",6,111
"Improper Lights",0,0
"Improper Passing",0,2
"Improper Turn",92,666
"Improper/Missing Plates",0,6
"Not Giving R of W to Pedes.",37,271
"Not Giving R of W to Veh.",2,14
"One Way Street",4,196
"Pavement Markings",0,27
"Safety Belt",45,932
"School Bus, Passing Stopped",4,106
Speeding,8,266
Spillback,0,0
"Tinted Windows",9,207
"Truck Routes",7,182
U-Turn,0,40
Uninspected,1,16
Uninsured,6,213
"Unlicensed Operator",18,259
Unregistered,1,34
"Unsafe Lane Change",3,66
"Other Movers",19,463
"020    TOTAL Movers ",584,10166

